b1e6a5896f5ffbe46b913035a8ad5f72|Where is my shoe?|where is my shoe?
70827258aa6114fa03867756215ec80a|I should think not!|i should think not!
b44ebc383fb0d9bef6fe4c684bc49a87|What is the matter?|what is the matter?
8e5894273a9f16e1e75ba3e38a8d6b2f|Rain likely. Cloudy, with a high near forty-nine.|rain likely. cloudy, with a high near forty-nine.
c736b025f7a6b3a111f49a73936c1d09|Sir, he answered, "they sent me the very riff-raff."|sir, he answered, "they sent me the very riff-raff."
0398ed1aff279f5b4190491ef7e636d9|Today, anyone can pass both bridges for free, but one is closed to cars.|today, anyone can pass both bridges for free, but one is closed to cars.
22dab3e75bf7fa5391386ae6e9d8fc31|A man is sitting on a pink cart with a little girl in the grocery store.|a man is sitting on a pink cart with a little girl in the grocery store.
5d6ec5e51dfb5a846910126ccfff8c66|The new highway is expected to cost nine point two four million dollars.|the new highway is expected to cost nine point two four million dollars.
2da48b56185e1b74dee730c3625ea117|An asian man carrying a suitcase while talking on the phone and walking quickly.|an asian man carrying a suitcase while talking on the phone and walking quickly.
f2d00053ad718977a9c47a95f2e85f27|In nineteen forty-six, Public Law two ninety three established the Department of Medicine and Surgery within V.A.|in nineteen forty-six, public law two ninety three established the department of medicine and surgery within v.a.
